model,instrument_type,instrument,quandl_id
EQUITY_TREND_BEN,BEN,STOCK,YAHOO/BEN
EQUITY_TREND_FCX,FCX,STOCK,YAHOO/FCX
EQUITY_TREND_FTR,FTR,STOCK,YAHOO/FTR
EQUITY_TREND_GME,GME,STOCK,YAHOO/GME
EQUITY_TREND_GPS,GPS,STOCK,YAHOO/GPS
EQUITY_TREND_GRMN,GRMN,STOCK,YAHOO/GRMN
EQUITY_TREND_GD,GD,STOCK,YAHOO/GD
EQUITY_TREND_GE,GE,STOCK,YAHOO/GE
EQUITY_TREND_GGP,GGP,STOCK,YAHOO/GGP
EQUITY_TREND_GIS,GIS,STOCK,YAHOO/GIS
EQUITY_TREND_GM,GM,STOCK,YAHOO/GM
EQUITY_TREND_GPC,GPC,STOCK,YAHOO/GPC
EQUITY_TREND_GILD,GILD,STOCK,YAHOO/GILD
EQUITY_TREND_GS,GS,STOCK,YAHOO/GS
EQUITY_TREND_GT,GT,STOCK,YAHOO/GT
EQUITY_TREND_GWW,GWW,STOCK,YAHOO/GWW
EQUITY_TREND_HAL,HAL,STOCK,YAHOO/HAL
EQUITY_TREND_HBI,HBI,STOCK,YAHOO/HBI
EQUITY_TREND_HOG,HOG,STOCK,YAHOO/HOG
EQUITY_TREND_HAR,HAR,STOCK,YAHOO/HAR
EQUITY_TREND_HRS,HRS,STOCK,YAHOO/HRS
EQUITY_TREND_HIG,HIG,STOCK,YAHOO/HIG
EQUITY_TREND_HAS,HAS,STOCK,YAHOO/HAS
EQUITY_TREND_HCA,HCA,STOCK,YAHOO/HCA
EQUITY_TREND_HCP,HCP,STOCK,YAHOO/HCP
EQUITY_TREND_HP,HP,STOCK,YAHOO/HP
EQUITY_TREND_HES,HES,STOCK,YAHOO/HES
EQUITY_TREND_HPE,HPE,STOCK,YAHOO/HPE
EQUITY_TREND_HOLX,HOLX,STOCK,YAHOO/HOLX
EQUITY_TREND_HD,HD,STOCK,YAHOO/HD
EQUITY_TREND_HON,HON,STOCK,YAHOO/HON
EQUITY_TREND_HRL,HRL,STOCK,YAHOO/HRL
EQUITY_TREND_HST,HST,STOCK,YAHOO/HST
EQUITY_TREND_HPQ,HPQ,STOCK,YAHOO/HPQ
EQUITY_TREND_HUM,HUM,STOCK,YAHOO/HUM
EQUITY_TREND_HBAN,HBAN,STOCK,YAHOO/HBAN
EQUITY_TREND_ITW,ITW,STOCK,YAHOO/ITW
EQUITY_TREND_ILMN,ILMN,STOCK,YAHOO/ILMN
EQUITY_TREND_IR,IR,STOCK,YAHOO/IR
