Date,Close,position
2013-04-10,73.0,112782.0
2013-04-11,73.790001,114924.0
2013-04-12,73.169998,115579.0
2013-04-15,72.120003,119634.0
2013-04-16,73.089996,117564.0
2013-04-17,72.860001,117931.0
2013-04-18,72.809998,118053.0
2013-04-19,75.519997,109205.0
2013-04-22,74.199997,110058.0
2013-04-23,74.980003,111222.0
2013-04-24,74.82,111351.0
2013-04-25,73.589996,111779.0
2013-04-26,73.160004,112242.0
2013-04-29,75.940002,103907.0
2013-04-30,76.080002,105728.0
2013-05-01,73.690002,105639.0
2013-05-02,72.150002,106160.0
2013-05-03,73.68,102889.0
2013-05-06,73.419998,103192.0
2013-05-07,74.07,102929.0
2013-05-08,73.860001,103151.0
2013-05-09,72.739998,105323.0
2013-05-10,73.519997,104599.0
2013-05-13,75.889999,98809.0
2013-05-14,77.300003,96376.0
2013-05-15,76.330002,97054.0
2013-05-16,75.75,98516.0
2013-05-17,78.169998,93286.0
2013-05-20,75.379997,93391.0
2013-05-21,75.529999,93237.0
2013-05-22,74.82,94182.0
2013-05-23,74.669998,94935.0
2013-05-24,84.470001,62096.0
2013-05-28,91.800003,52463.0
2013-05-29,90.809998,52895.0
2013-05-30,91.0,52845.0
2013-05-31,91.120003,52790.0
2013-06-03,88.209999,53818.0
2013-06-04,85.18,55123.0
2013-06-05,84.160004,55653.0
2013-06-06,84.870003,55203.0
2013-06-07,85.589996,54731.0
2013-06-10,85.110001,54994.0
2013-06-11,83.769997,55677.0
2013-06-12,83.360001,55914.0
2013-06-13,85.809998,53915.0
2013-06-14,84.199997,54673.0
2013-06-17,84.82,54305.0
2013-06-18,85.860001,53636.0
2013-06-19,86.410004,53398.0
2013-06-20,83.839996,54428.0
2013-06-21,84.419998,54046.0
2013-06-24,84.0,54285.0
2013-06-25,85.239998,53414.0
2013-06-26,84.949997,53648.0
2013-06-27,86.150002,52957.0
2013-06-28,86.080002,52993.0
2013-07-01,88.0,51633.0
2013-07-02,89.989998,50293.0
2013-07-03,89.5,50545.0
2013-07-05,88.769997,50917.0
2013-07-08,90.029999,50153.0
2013-07-09,89.959999,50187.0
2013-07-10,90.199997,50253.0
2013-07-11,92.470001,48782.0
2013-07-12,92.900002,48562.0
2013-07-15,93.800003,48194.0
2013-07-16,91.529999,49070.0
2013-07-17,91.449997,49107.0
2013-07-18,91.389999,49161.0
2013-07-19,90.800003,49463.0
2013-07-22,90.809998,49671.0
2013-07-23,90.489998,49853.0
2013-07-24,91.330002,49376.0
2013-07-25,91.989998,49285.0
2013-07-26,91.959999,49299.0
2013-07-29,91.699997,49654.0
2013-07-30,91.0,50115.0
2013-07-31,93.599998,48446.0
2013-08-01,96.040001,46982.0
2013-08-02,96.449997,46785.0
2013-08-05,95.57,47220.0
2013-08-06,95.720001,47146.0
2013-08-07,97.589996,46140.0
2013-08-08,101.68,43653.0
2013-08-09,101.870003,43605.0
2013-08-12,101.949997,43794.0
2013-08-13,103.980003,42869.0
2013-08-14,103.900002,42950.0
2013-08-15,102.93,43289.0
2013-08-16,103.0,43259.0
2013-08-19,101.059998,43894.0
2013-08-20,101.529999,43724.0
2013-08-21,99.769997,44361.0
2013-08-22,99.300003,44607.0
2013-08-23,99.519997,45639.0
2013-08-26,99.599998,45621.0
2013-08-27,95.800003,46704.0
2013-08-28,97.849998,45575.0
2013-08-29,98.949997,45045.0
2013-08-30,98.339996,45319.0
2013-09-03,99.349998,44862.0
2013-09-04,99.940002,44655.0
2013-09-05,99.800003,44850.0
2013-09-06,100.239998,44698.0
2013-09-09,101.330002,44213.0
2013-09-10,100.199997,44622.0
2013-09-11,100.260002,45121.0
2013-09-12,99.57,45587.0
2013-09-13,99.199997,45761.0
2013-09-16,101.220001,44723.0
2013-09-17,102.769997,44164.0
2013-09-18,102.830002,44175.0
2013-09-19,106.120003,42975.0
2013-09-20,104.410004,43504.0
2013-09-23,103.080002,44511.0
2013-09-24,103.730003,44517.0
2013-09-25,102.339996,45129.0
2013-09-26,103.290001,44722.0
2013-09-27,104.720001,44075.0
2013-09-30,104.330002,44234.0
2013-10-01,108.160004,42346.0
2013-10-02,109.800003,41679.0
2013-10-03,111.400002,41379.0
2013-10-04,111.010002,41595.0
2013-10-07,110.32,41932.0
2013-10-08,105.919998,42859.0
2013-10-09,107.029999,42754.0
2013-10-10,110.0,42035.0
2013-10-11,109.43,42217.0
2013-10-14,109.779999,42164.0
2013-10-15,109.730003,42191.0
2013-10-16,110.629997,52026.0
2013-10-17,112.0,58736.0
2013-10-18,113.019997,58360.0
2013-10-21,112.300003,58638.0
2013-10-22,112.529999,58520.0
2013-10-23,114.370003,58870.0
2013-10-24,114.290001,60855.0
2013-10-25,112.57,61632.0
2013-10-28,110.419998,62153.0
2013-10-29,111.059998,61829.0
2013-10-30,109.059998,62432.0
2013-10-31,105.720001,63282.0
2013-11-01,111.199997,57197.0
2013-11-04,110.330002,58358.0
2013-11-05,109.449997,59259.0
2013-11-06,106.449997,59826.0
2013-11-07,103.040001,60496.0
2013-11-08,105.440002,58623.0
2013-11-11,105.160004,59948.0
2013-11-12,105.739998,59632.0
2013-11-13,107.150002,58773.0
2013-11-14,105.860001,59421.0
2013-11-15,107.120003,58655.0
2013-11-18,106.739998,58986.0
2013-11-19,105.919998,59337.0
2013-11-20,106.559998,59447.0
2013-11-21,108.68,58411.0
2013-11-22,109.550003,57973.0
2013-11-25,108.989998,58334.0
2013-11-26,109.220001,58386.0
2013-11-27,108.349998,58744.0
2013-11-29,109.629997,57945.0
2013-12-02,109.779999,58511.0
2013-12-03,109.190002,58775.0
2013-12-04,107.900002,59335.0
2013-12-05,106.400002,60707.0
2013-12-06,107.669998,59867.0
2013-12-09,107.970001,59707.0
2013-12-10,108.620003,59414.0
2013-12-11,106.489998,60029.0
2013-12-12,106.239998,60184.0
2013-12-13,106.830002,59905.0
2013-12-16,110.919998,56205.0
2013-12-17,109.32,56736.0
2013-12-18,112.410004,54477.0
2013-12-19,111.900002,54778.0
2013-12-20,112.0,55473.0
2013-12-23,112.620003,55795.0
2013-12-24,113.019997,55601.0
2013-12-26,113.559998,55459.0
2013-12-27,113.599998,55437.0
2013-12-30,117.419998,52901.0
2013-12-31,117.400002,54650.0
2014-01-02,116.980003,54817.0
2014-01-03,117.160004,54733.0
2014-01-06,112.620003,55519.0
2014-01-07,125.349998,40849.0
2014-01-08,128.300003,39741.0
2014-01-09,132.169998,38199.0
2014-01-10,133.5,38023.0
2014-01-13,130.619995,38565.0
2014-01-14,135.009995,37061.0
2014-01-15,133.5,37412.0
2014-01-16,137.339996,36073.0
2014-01-17,137.929993,35922.0
2014-01-21,136.880005,36946.0
2014-01-22,137.820007,36839.0
2014-01-23,135.020004,37358.0
2014-01-24,132.119995,37924.0
2014-01-27,131.0,38209.0
2014-01-28,132.800003,37641.0
2014-01-29,132.800003,37646.0
2014-01-30,136.600006,36304.0
2014-01-31,135.639999,36540.0
2014-02-03,133.360001,37076.0
2014-02-04,135.559998,36397.0
2014-02-05,134.610001,36653.0
2014-02-06,134.429993,36714.0
2014-02-07,137.929993,35683.0
2014-02-10,138.130005,35694.0
2014-02-11,141.309998,34728.0
2014-02-12,140.770004,35197.0
2014-02-13,141.789993,35098.0
2014-02-14,139.570007,35611.0
2014-02-18,146.470001,33075.0
2014-02-19,145.020004,33448.0
2014-02-20,148.0,32677.0
2014-02-21,146.259995,33013.0
2014-02-24,145.729996,33134.0
2014-02-25,145.059998,33706.0
2014-02-26,146.339996,33457.0
2014-02-27,148.0,33107.0
2014-02-28,144.860001,33604.0
2014-03-03,143.380005,33915.0
2014-03-04,146.229996,33896.0
2014-03-05,145.130005,34124.0
2014-03-06,138.550003,35012.0
2014-03-07,141.369995,34212.0
2014-03-10,140.740005,34344.0
2014-03-11,139.960007,34512.0
2014-03-12,141.0,34260.0
2014-03-13,139.330002,34627.0
2014-03-14,140.009995,34474.0
2014-03-17,140.899994,34281.0
2014-03-18,144.179993,33334.0
2014-03-19,140.789993,33945.0
2014-03-20,140.399994,34033.0
2014-03-21,135.550003,34831.0
2014-03-24,131.470001,35677.0
2014-03-25,131.529999,35666.0
2014-03-26,129.070007,36335.0
2014-03-27,127.190002,37199.0
2014-03-28,127.68,38149.0
2014-03-31,131.830002,36577.0
2014-04-01,133.25,36198.0
2014-04-02,133.690002,36460.0
2014-04-03,129.100006,37682.0
2014-04-04,124.690002,38613.0
2014-04-07,119.230003,39446.0
2014-04-08,122.029999,38343.0
2014-04-09,129.339996,34947.0
2014-04-10,123.330002,35864.0
2014-04-11,118.790001,36743.0
2014-04-14,116.989998,37221.0
2014-04-15,120.120003,36056.0
2014-04-16,121.449997,-35638.0
2014-04-17,122.050003,-35573.0
2014-04-21,126.010002,-34159.0
2014-04-22,135.410004,-30343.0
2014-04-23,133.229996,-30750.0
2014-04-24,134.419998,-30494.0
2014-04-25,133.729996,-30660.0
2014-04-28,133.509995,-30707.0
2014-04-29,133.630005,-30694.0
2014-04-30,133.710007,-30728.0
2014-05-01,138.130005,-29581.0
2014-05-02,136.350006,-29927.0
2014-05-05,136.190002,-29958.0
2014-05-06,133.350006,-30460.0
2014-05-07,133.350006,-30583.0
2014-05-08,131.169998,-31005.0
2014-05-09,131.169998,-31006.0
2014-05-12,130.160004,-31568.0
2014-05-13,129.639999,-31758.0
2014-05-14,126.970001,-32482.0
2014-05-15,124.040001,-33090.0
2014-05-16,126.760002,-32264.0
2014-05-19,127.209999,-32154.0
2014-05-20,130.970001,-31028.0
2014-05-21,129.899994,-31260.0
2014-05-22,130.830002,-31031.0
2014-05-23,133.460007,-30594.0
2014-05-27,129.949997,-31219.0
2014-05-28,126.949997,-31807.0
2014-05-29,129.220001,-31177.0
2014-05-30,131.210007,-31071.0
2014-06-02,134.169998,-34010.0
2014-06-03,132.259995,-34610.0
2014-06-04,128.820007,-35611.0
2014-06-05,128.339996,-35778.0
2014-06-06,127.459999,-36186.0
2014-06-09,126.629997,-36863.0
2014-06-10,125.550003,-37201.0
2014-06-11,125.18,-37666.0
2014-06-12,120.75,-38549.0
2014-06-13,119.599998,-38907.0
2014-06-16,117.75,-39459.0
2014-06-17,118.870003,-39195.0
2014-06-18,118.43,-39520.0
2014-06-19,117.550003,-39822.0
2014-06-20,121.93,-37878.0
2014-06-23,121.209999,-38092.0
2014-06-24,120.519997,-38663.0
2014-06-25,125.940002,-36194.0
2014-06-26,126.5,-36127.0
2014-06-27,128.850006,-35440.0
2014-06-30,126.120003,-36059.0
2014-07-01,125.580002,-36209.0
2014-07-02,126.0,-36352.0
2014-07-03,126.0,-36354.0
2014-07-07,123.290001,-37211.0
2014-07-08,122.169998,-37530.0
2014-07-09,120.940002,-37910.0
2014-07-10,120.68,-38075.0
2014-07-11,120.470001,-39241.0
2014-07-14,121.080002,-39053.0
2014-07-15,119.449997,-39748.0
2014-07-16,121.709999,-38865.0
2014-07-17,121.519997,-38928.0
2014-07-18,121.970001,-38776.0
2014-07-21,125.540001,-37322.0
2014-07-22,122.540001,-38094.0
2014-07-23,124.620003,-37479.0
2014-07-24,124.360001,-37590.0
2014-07-25,123.519997,-38022.0
2014-07-28,123.529999,-38034.0
2014-07-29,123.699997,-38834.0
2014-07-30,125.830002,-38231.0
2014-07-31,117.389999,-39055.0
2014-08-01,118.209999,-38761.0
2014-08-04,116.790001,-39221.0
2014-08-05,110.660004,-40353.0
2014-08-06,110.019997,-40602.0
2014-08-07,106.730003,-41568.0
2014-08-08,109.169998,-40648.0
2014-08-11,107.25,-41464.0
2014-08-12,108.07,-41108.0
2014-08-13,109.169998,-41063.0
2014-08-14,111.040001,-40558.0
2014-08-15,112.260002,-40056.0
2014-08-18,109.779999,-40907.0
2014-08-19,113.720001,-39020.0
2014-08-20,113.099998,-39235.0
2014-08-21,113.809998,-39414.0
2014-08-22,117.260002,-37929.0
2014-08-25,115.480003,-38445.0
2014-08-26,117.099998,-38253.0
2014-08-27,116.709999,-38824.0
2014-08-28,116.860001,-39561.0
2014-08-29,117.300003,-39644.0
2014-09-02,120.099998,-40075.0
2014-09-03,119.029999,-41444.0
2014-09-04,117.32,-42653.0
2014-09-05,119.68,-41729.0
2014-09-08,120.050003,-41968.0
2014-09-09,120.029999,-42039.0
2014-09-10,119.879997,-42104.0
2014-09-11,120.410004,-42491.0
2014-09-12,122.050003,-45311.0
2014-09-15,121.43,-45695.0
2014-09-16,122.150002,-45460.0
2014-09-17,121.849998,-45584.0
2014-09-18,120.519997,-46014.0
2014-09-19,117.43,-46788.0
2014-09-22,116.279999,-47200.0
